age,others,accident,suicide
19.068493,92.825401,35.829327,11.203714
19.150684,95.100739,35.639256,12.193368
19.232876,92.144295,34.20565,11.715812
19.315069,88.427757,32.278957,11.27501
19.397261,88.704941,32.650967,10.984314
19.479452,90.191788,32.721443,12.166634
19.561644,96.220306,36.385197,12.405763
19.643835,89.615555,34.187935,10.979514
19.726027,93.381699,31.910467,11.900103
19.80822,90.857956,30.576832,11.570638
19.890411,95.81015,33.531654,11.468357
19.972603,94.158066,33.603443,11.631961
20.054794,92.4646,31.772816,11.263178
20.136986,98.245598,34.298309,11.928189
20.219177,94.960403,33.32011,11.87005
20.301371,93.385323,32.759403,12.46157
20.383562,90.120918,30.589046,11.102407
20.465754,92.406227,31.28775,10.889364
20.547945,93.354485,30.298925,11.482102
20.630136,92.228783,30.230118,12.345887
20.712328,92.332245,30.122578,10.978177
20.794521,92.667511,29.74465,11.303739
20.876713,93.390198,30.717916,12.209889
20.958904,94.269913,30.417139,11.880486
20.99999,,,
21,,,
21.041096,105.26835,36.316807,12.402751
21.123287,101.06651,32.575798,14.83189
21.205479,96.966522,33.022293,12.213193
21.287672,102.8269,35.106873,14.45577
21.369864,100.97943,32.358696,13.583627
21.452055,101.23695,32.455261,13.803261
21.534246,99.497597,31.533688,12.848509
21.616438,95.201309,30.098682,11.811869
21.698629,97.258247,30.388288,13.326818
21.780823,98.928726,31.742258,14.76842
21.863014,102.26221,34.481934,13.926913
21.945206,96.833374,31.540012,12.370957
22.027397,99.501968,31.834293,12.274417
22.109589,96.072289,29.55155,11.622288
22.19178,95.968208,30.836988,12.597069
22.273973,98.610672,29.857895,12.420884
22.356165,97.952469,28.75559,13.879258
22.438356,97.411728,27.649269,13.86459
22.520548,97.509476,28.260136,12.809127
22.602739,95.562393,29.234152,12.15082
22.684931,97.023064,29.528757,12.856058
22.767124,99.374573,27.44976,14.610356
22.849316,94.315308,26.855064,12.338814
22.931507,97.397644,27.389301,11.917173